name,sku,value,brand,description
Black leather loafers ,ITEM NO. BH201RH1EB 001,£722.50,Givenchy,Loafers realized in smooth leather characterized by in relief logo on the side enriched by logoed metal detail on the vamp.- Round toe- Embossed logo on the inside - Lug sole 
Printed leather Spoiler sneakers,ITEM NO. CS1772AH494 HWF57,£760.75,Dolce & Gabbana,Sneakers realized in smooth calf leather characterized by Graffiti print on the entire surface and logo in relief at the back enriched by metal studs and logoed patch on the sides.
Multicolor fabric and suede sneakers,ITEM NO. XXM63K0GT80QHG 3521,£586.50,Tod's,Sneakers realized in suede and fabric enriched by leather band on the sides.
Black leather loafers,ITEM NO. XXM42C0FJ10D90 B999,£484.50,Tod's,Loafers realized in smooth leather enriched by metal logoed detail on the vamp.
Multicolor leather Superstar Classic sneakers ,ITEM NO. GMF00101F004166 11390,£369.75,Golden Goose Deluxe Brand,Sneakers realized in smooth leather with suede inserts characterized by intentional dirties on the entire surface enriched by iconic Star patch and metal lettering logo on the side. - Logoed lace-up closure- Logoed label on the tongue- Padded ankle- Printed logo on the inside 
Black leather slippers,ITEM NO. A80312AW694 8B577,£675.75,Dolce & Gabbana,Black leather slippers
Black velvet slippers ,ITEM NO. A80310AO249 8R747,£760.75,Dolce & Gabbana,Slippers realized in velvet characterized by tonal embroidery at the front. 
Multicolor nappa leather Stud Around sneakers ,ITEM NO. 2Y2S0G51TUF Q1X,£603.50,Valentino Garavani,Sneakers realized in nappa leather with suede insert at the front enriched by stud on the side and logoed label on the padded tongue. 
Two-tone leather Skel sneakers,ITEM NO. PS23MFS003 510,£476.85,Amiri,Sneakers realized in pebble leather with nylon insert enriched by peculiar patches on the entire surface and detachable metal logoed accessory.- Logo in relief on the side- Lace-up closure- Perforated toe with logoed plate- Logoed label on the tongue- Padded ankle and embossed logo at the back- Printed logo on the inside 
Two-tone fabric and leather Flow Runner sneakers,ITEM NO. M816282X95 WHITE,£579.70,Loewe,Sneakers realized in fabric with nappa leather and suede inserts enriched by leather logoed patch on the side and leather logoed label on the tongue.- Lace-up closure- Padded ankle- Printed logo on the inside 
Turquoise rubber slippers ,ITEM NO. PMIC001S23PLA001 4001,£119.00,Palm Angels,Slippers realized in rubber characterized by contrasting printed logo in relief on the band. - Moulded sole - Embossed logo on the inside 
Black leather loafers,ITEM NO. XXM42C0CT51T1C B999,£484.50,Tod's,Loafers realized in smooth leather enriched by metal logoed detail on the vamp.
Orange rubber slippers ,ITEM NO. PMIC001S23PLA001 2001,£119.00,Palm Angels,Slippers realized in rubber characterized by contrasting printed logo in relief on the band. - Moulded sole - Embossed logo on the inside 
Grey neoprene and mesh Trigreca sneakers,ITEM NO. DSU80941A05847 2E180,£787.95,Versace,Sneakers realized in neoprene and mesh characterized by contrasting printed logo on the side and peculiar contrasting print at the back.
Black leather Ripley ankle boots,ITEM NO. 730249V2RV0 1118,"£1,911.65",Bottega Veneta,Ankle boots realized in leather from a polished finish enriched by decorative studs on the hemline.
Black stretch fabric Speed 2.0 sneakers ,ITEM NO. 617239W2DB2 1015,£675.75,Balenciaga,High sock sneakers realized in stretch fabric characterized by contrasting printed logo on the side and embossed logo at the back.- Ribbed leg- Embossed logo on the inside- Moulded sole
Black rubber slippers,ITEM NO. BH301TH1DB 001,£212.50,Givenchy,Slippers realized in rubber characterized by logo in relief on the band and on the side.- Round toe- Moiulded insole
Brown leather Stud Sign loafers,ITEM NO. XY2S0F09ELI L94,£824.50,Valentino Garavani,Brown leather Stud Sign loafers
White leather VL7N slip ons,ITEM NO. XY2S0E02WRQ 24P,£691.05,Valentino Garavani,White leather VL7N slip ons
Black leather VL7N slip ons,ITEM NO. XY2S0E02WRQ 0NO,£691.05,Valentino Garavani,Black leather VL7N slip ons
White leather sneakers,ITEM NO. XY2S0B21RKW A01,£729.30,Valentino Garavani,White leather sneakers
Two-tone fabric Spectre sneakers ,ITEM NO. BH003MH14T 029,£552.50,Givenchy,Two-tone fabric Spectre sneakers 
Black leather Ready loafers ,ITEM NO. 02C4997351902E NERONUDE,£590.75,Salvatore Ferragamo,Loafers realized in smooth calf leather enriched by metal Gancini detail on the vamp. - Round toe - Printed logo on the inside 
Brown leather loafers ,ITEM NO. 0210527584552E CAPPUCCI,"£1,062.50",Salvatore Ferragamo,Loafers realized in smooth calf leather enriched by peculiar details on the vamp.- Tapered toe - Printed logo on the inside 
Black leather loafers ,ITEM NO. 02A5156717922E NERO,£637.50,Salvatore Ferragamo,Loafers realized in smooth calf leather enriched by metal Gancini detail on the vamp.- Round toe - Printed logo on the inside 
Two-tone leather and fabric MA-1 sneakers,ITEM NO. SS23MFS012 123,£642.60,Amiri,Sneakers realized in leather and fabric characterized by printed logo on the sideand in relief logo at the back enriched by logoed metal detail on the side and logoed label on the padded tongue.
Multicolor leather Skel Top sneakers,ITEM NO. SS23MFS005 853,£535.50,Amiri,Sneakers realized in leather characterized by printed logo at the back and in relief printed logo on the side enriched by logoed label on the tongue and logoed metal charm on the side. - Lace-up closure- Perforated toe- Printed logo on the inside
Black fabric Fly sneakers,ITEM NO. SNM028659206265 2124,£453.05,Dsquared,Sneakers realized fabric charcaterized by in relief logo on the tongue and embossed logo on the side enriched by logoed band at the back.
Black fabric Fly sock sneakers,ITEM NO. SNM028559206264 M436,£453.05,Dsquared,Sock sneakers realized in fabric enriched by logoed label at the back.
Black fabric TK-360+ slip ons,ITEM NO. BH0076H1C4 001,£675.75,Givenchy,Slip ons realized in tech fabric characterized by tonal 4G print on the side.- Round toe- Printed logo on the inside- Peculiar sole
Red tech knit Speed sneakers ,ITEM NO. 717591WBDV1 6090,£675.75,Balenciaga,High sock sneakers created in collaboration with Adidas realized in tech knit characterized by embroidered Trefoil logo and Balenciaga logo on the sides and embossed logo at the back. 
Grey tech knit Speed sneakers ,ITEM NO. 717591WBDV1 1590,£675.75,Balenciaga,High sock sneakers created in collaboration with Adidas realized in tech knit characterized by embroidered Trefoil logo and Balenciaga logo on the sides and embossed logo at the back. 
Ivory leather Triple Stitch slip ons,ITEM NO. LHCVOS4667Z PAN,£719.95,Zegna,Slip ons realized in pebble leather characterized by embossed logo on the tongue. - Padded ankle - Tonal leather heel pull-tab - Embossed logo on the inside 
Black leather loafers ,ITEM NO. 736513WIC60 1000,£738.65,Alexander Mcqueen,Loafers realized in smooth calf leather characterized by round toe. - Vamp- Embossed logo on the inside - Lug sole 
Multicolor leather Skel sneakers,ITEM NO. PS23MFS002 990,£535.50,Amiri,High-top sneakers realized in pebble leather with nylon insert enriched by peculiar patches on the entire surface and detachable metal logoed accessory.- Logo in relief on the side- Lace-up closure- Perforated toe with logoed plate- Logoed label on the tongue- Padded ankle and embossed logo at the back- Printed logo on the inside 
White leather Open sneakers with green band,ITEM NO. 2Y2S0830PUD M06,£544.00,Valentino Garavani,Sneakers realized in smooth calf leather characterized by contrasting band and Open for a change print on the side enriched by rubber studs at the back.- Lace-up closure- Printed logo on the padded tongue- Padded ankle- Printed logo on the inside
Multicolor leather Stardan sneakers ,ITEM NO. GMF00333F003293 11209,£386.75,Golden Goose Deluxe Brand,Sneakers realized in smooth leather with intentional dirties on the entire surface characterized by contrasting printed logo on the side and embossed logo on the side. - Lace-up closure - Logoed label on the tongue - Padded ankle - Printed logo on the inside 
White leather New City slip ons ,ITEM NO. BH005XH19R 199,£467.50,Givenchy,Slip ons realized in smooth calf leather characterized by contrasting printed logo at the back enriched by contrasting elastic logoed bands on the instep and metal logo on the tongue. - Padded tongue - Padded ankle- Printed logo on the inside 
Two-tone leather VL7N sneakers ,ITEM NO. 2Y2S0C58CSP 74L,£692.75,Valentino Garavani,Sneakers realized in pebble and smooth calf leather with fabric inserts characterized by contrasting printed logo at the back enriched by logoed bands on the sides and at the back. - Tonal lace-up closure - Logoed label on the padded tongue - Padded ankle - Printed logo on the inside 
White leather Portofino sneakers,ITEM NO. CS1760AH526 89697,£420.75,Dolce & Gabbana,Sneakers realized in smooth calf leather characterized by contrasting stitchings enriched by contrasting logoed rubber insert at the back.
Printed nappa leather Portofino sneakers,ITEM NO. CS1570AZ268 HWF57,£675.75,Dolce & Gabbana,"Sneakers realized in calf nappa leather characterized by logoed print on the entire surface enriched by logoed patch on the side, laminated Dauphine leather inserts and rubber logo in relief at the back .- Lace-up closure- Logoed label on the tongue- Padded ankle- Logoed label on the inside"
White leather Medalist sneakers ,ITEM NO. AULM LL05,£140.25,Autry,Sneakers realized in smooth leather characterized by embossed logo on the laminated heel enriched by logoed label on the side.- Lace-up closure - Perforated toe - Logoed label on the padded tongue- Padded ankle - Printed logo on the inside
Multicolor leather Palm University sneakers,ITEM NO. PMIA078C99LEA001 0110,£369.75,Palm Angels,Sneakers realized in leather with suede inserts characterized by printed logo at the back and Palm print on the heel.- Lace-up closure- Perforated toe- Logoed label on the padded tongue- Padded ankle- Printed logo on the inside
